,DATE,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PTS,OPP_PTS,WINS_LOSSES,OPP_WINS_LOSSES,MEAN_PTS,MEAN_PTS_QTR1,MEAN_PTS_QTR2,MEAN_PTS_QTR3,MEAN_PTS_QTR4,MEAN_FG_PCT,MEAN_FT_PCT,MEAN_FG3_PCT,MEAN_AST,MEAN_REB,MEAN_TOV,OPP_TEAM_MEAN_PTS,OPP_TEAM_MEAN_PTS_QTR1,OPP_TEAM_MEAN_PTS_QTR2,OPP_TEAM_MEAN_PTS_QTR3,OPP_TEAM_MEAN_PTS_QTR4,OPP_TEAM_MEAN_FG_PCT,OPP_TEAM_MEAN_FT_PCT,OPP_TEAM_MEAN_FG3_PCT,OPP_TEAM_MEAN_AST,OPP_TEAM_MEAN_REB,OPP_TEAM_MEAN_TOV,ODDS_ML_BETONLINE,ODDS_ML_BOGDOG,ODDS_ML_BUMBET,ODDS_ML_INTERTOPS,ODDS_ML_OPENING,OPP_ODDS_ML_BOGDOG,OPP_ODDS_ML_BUMBET,OPP_ODDS_ML_OPENING,OPP_ODDS_ML_BETONLINE,OPP_ODDS_ML_INTERTOPS
0,2019-10-22,TOR,NOP,130,122,0-0,0-0,112.66,27.83,28.64,29.15,26.09,46.73,80.99,36.17,24.77,44.51,12.92,115.44,28.39,29.99,28.71,27.84,47.35,76.11,34.37,27.04,47.29,14.49,-280,-280,-280,-275,-186,+230,+230,+169,+235,+235
1,2019-10-22,LAC,LAL,112,102,0-0,0-0,115.11,28.80,29.98,26.72,28.77,47.00,79.35,38.54,24.11,45.11,13.76,111.77,27.59,29.04,28.39,26.09,47.02,69.95,33.32,25.56,46.59,15.18,+147,+155,+155,+145,-125,-175,-175,+105,-167,-165
2,2019-10-23,CHR,CHI,126,125,0-0,0-0,110.74,27.55,28.04,27.68,26.62,44.77,79.68,35.12,23.23,43.85,11.63,104.94,26.06,25.44,25.74,26.59,45.32,78.35,35.06,21.91,42.90,13.51,+150,+155,+155,+140,-116,-175,-175,-105,-170,-160
3,2019-10-23,ORL,CLE,94,85,0-0,0-0,106.44,27.07,26.95,26.39,25.71,45.03,78.11,35.23,25.17,45.30,12.78,104.48,26.20,25.56,26.18,26.17,44.39,79.22,35.47,20.71,42.68,12.66,-500,-550,-550,-500,-333,+375,+375,+257,+405,+375
4,2019-10-23,IND,DET,110,119,0-0,0-0,107.26,26.45,28.28,26.13,26.23,47.16,75.01,37.23,25.71,42.93,13.22,106.63,26.95,26.55,25.63,26.52,43.72,74.68,34.71,22.52,44.90,12.83,-300,-320,-320,-290,-175,+260,+260,+142,+250,+245
5,2019-10-23,PHI,BOS,107,93,0-0,0-0,114.35,30.33,28.66,27.83,27.02,46.95,77.35,35.58,26.60,47.85,14.61,111.37,28.20,26.57,28.03,27.89,46.12,80.23,36.28,25.80,44.90,12.58,-245,-220,-220,-240,-263,+180,+180,+209,+205,+200
6,2019-10-23,MIA,MEM,120,101,0-0,0-0,105.71,27.34,26.77,26.20,25.15,45.04,69.47,34.91,24.28,46.34,14.09,103.54,26.21,27.15,24.85,24.38,44.95,77.21,34.25,23.94,41.80,13.17,-275,-260,-260,-280,-333,+215,+215,+257,+230,+240
7,2019-10-23,BKN,MIN,126,127,0-0,0-0,112.20,27.05,27.25,29.30,27.11,44.70,74.89,35.14,23.56,46.24,14.37,112.48,28.20,28.48,29.04,26.11,45.60,78.70,35.09,24.61,44.79,12.59,-150,-150,-150,-155,-217,+130,+130,+176,+130,+135
8,2019-10-23,SAN,NY,120,111,0-0,0-0,111.00,27.75,27.63,27.62,27.33,47.73,81.45,38.87,24.28,44.73,11.49,104.57,26.07,26.50,25.85,25.68,43.28,75.87,33.99,20.07,44.80,13.43,-575,-650,-650,-620,-312,+425,+425,+241,+470,+450
9,2019-10-23,DAL,WAS,108,100,0-0,0-0,108.87,27.85,28.22,26.05,26.15,44.67,74.23,34.01,23.39,45.32,13.59,114.02,28.24,28.72,27.62,28.15,46.78,76.82,34.05,26.27,42.30,13.63,-410,-450,-450,-400,-370,+325,+325,+278,+340,+315
10,2019-10-23,UTA,OKC,100,95,0-0,0-0,110.92,27.13,27.69,27.98,27.79,46.42,73.69,35.03,25.84,46.39,14.75,113.94,28.01,28.55,28.67,28.00,45.30,71.59,34.72,23.33,47.80,13.75,-415,-430,-430,-430,-526,+315,+315,+375,+345,+335
11,2019-10-23,POR,DEN,100,108,0-0,0-0,113.84,28.53,27.71,29.00,27.32,46.21,80.53,35.88,22.48,47.54,13.16,110.45,28.33,28.14,26.96,26.43,46.23,75.96,35.02,26.86,46.59,12.30,-105,-105,-105,-115,-116,-115,-115,-105,-115,-105
12,2019-10-23,PHO,SAC,124,95,0-0,0-0,107.50,26.35,26.57,27.10,26.38,45.92,77.88,32.92,23.87,40.39,15.18,114.18,28.93,28.65,28.59,27.79,46.38,72.60,37.76,25.40,45.40,12.90,-115,+100,+100,,+101,-120,-120,-120,-105,
13,2019-10-24,DET,ATL,100,117,1-0,0-0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-122,-120,-120,,-152,+100,+100,+123,+102,
